gene_id,Col0_AWF_NT_R4,Col0_AWF_NT_R5,Col0_AWF_NT_R6,Col0_CL_R1,Col0_CL_R2,Col0_CL_R3,Col0_CL_ribo_R1,Col0_CL_ribo_R2,Col0_CL_ribo_R3,Col0_LSW_R1,Col0_LSW_R2,Col0_LSW_R3
AT1G01010,0,0,0,0,0,6,11,8,21,0,0,0
AT1G01020,0,0,0,13,0,0,28,15,19,0,0,0
AT1G01030,0,0,0,0,0,0,3,3,0,0,0,0
AT1G01040,9,0,0,88,10,72,274,54,340,5,0,0
AT1G01046,0,0,0,0,0,0,2,5,0,0,0,0
AT1G01050,0,0,0,19,0,19,136,45,73,0,0,0
AT1G01060,0,0,0,33,0,0,181,0,17,0,0,0
AT1G01070,0,0,0,0,0,0,0,2,7,0,0,0
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,0,0,0,46,0,13,139,29,88,5,0,0
AT1G01090,0,0,0,163,11,104,334,146,221,9,0,0
AT1G01100,0,0,0,44,5,40,180,104,210,0,0,0
AT1G01110,0,0,0,0,0,0,3,0,8,0,0,0
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,5,2,2,83,0,52,311,38,239,0,0,0
AT1G01130,0,0,0,0,0,2,7,0,14,0,0,0
AT1G01140,0,0,0,115,15,44,413,295,227,7,0,0
AT1G01150,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01160,0,0,0,28,8,22,60,68,109,8,0,0
AT1G01170,0,0,0,20,0,31,132,144,144,0,0,0
AT1G01180,0,3,0,11,9,20,37,86,48,0,0,0
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,0,0,0,3,0,0,0,0,0,0,0,0
AT1G01200,0,0,0,0,0,0,9,0,0,0,0,0
AT1G01210,0,0,0,9,0,0,20,9,11,0,0,0
AT1G01220,0,0,0,27,0,0,55,21,35,0,0,0
AT1G01225,0,0,0,2,0,0,9,0,5,0,0,0
AT1G01230,0,0,0,37,6,21,96,82,84,0,0,0
AT1G01240,0,0,0,37,6,7,146,113,83,9,0,0
AT1G01250,0,0,0,15,0,0,65,31,7,0,0,0
AT1G01260,0,0,0,23,3,11,94,62,129,0,0,0
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,0,0,0,8,0,7,39,38,36,0,0,0
AT1G01300,4,7,0,99,0,40,135,34,120,3,0,0
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01310,0,0,0,0,0,0,8,0,0,0,0,0
AT1G01320,18,15,7,526,16,194,1531,253,935,9,0,0
AT1G01340,0,0,0,9,0,19,29,26,35,3,0,0
AT1G01350,0,0,0,21,0,11,63,10,43,0,0,0
AT1G01355,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01360,0,0,0,15,0,7,94,34,44,0,0,0
AT1G01370,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01380,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01390,0,0,0,13,3,3,58,2,3,0,0,0
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,0,0,0,31,0,6,107,17,18,3,0,0
AT1G01430,0,6,0,46,8,37,113,43,116,0,0,0
AT1G01440,0,0,0,45,5,24,130,63,125,0,0,0
AT1G01448,0,0,0,17,0,15,21,8,51,0,0,0
AT1G01450,0,0,0,2,0,0,0,1,17,3,0,0
AT1G01453,0,0,0,0,0,0,0,4,0,0,0,0
