"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT3G44310",139.172723234574,19.1543904834518,1.92181539058061,9.96682125522212,2.12934841034272e-23,4.27786095637852e-20
"AT2G30860",112.062345669147,19.5455760571112,1.99143389134759,9.81482545919958,9.72060632414615e-23,9.76434905260481e-20
"AT1G56220",101.509101825552,19.0002652310597,2.04036258599318,9.31220037139182,1.25211036454603e-20,8.38496574124324e-18
"AT4G27440",64.4935135205998,18.9003155025071,2.0693096336719,9.13363336011215,6.62380723064064e-20,3.32680718158926e-17
"AT1G15125",79.8604653214038,18.9295797448318,2.27749130478884,8.31159254264941,9.4426166657297e-17,3.79404337629019e-14
"AT3G16420",12.3190320572283,19.0048736640187,2.39653190441043,7.93015675236507,2.18869445570263e-15,7.32847860251098e-13
"AT2G07687",22738.0363227669,10.3063690166453,1.38286965268452,7.45288537978822,9.13206183269647e-14,2.62090174598389e-11
"AT2G07698",40600.0436349734,9.13878554832905,1.2433672637583,7.35002908207945,1.98163734640821e-13,4.97638678616762e-11
"AT2G07727",15856.084390432,9.39867743166135,1.3158468708642,7.14268327095585,9.15263604966236e-13,2.04307175819685e-10
"AT2G07711",14009.8618876057,9.4773818337277,1.36744940583828,6.93070017308455,4.18762753635722e-12,8.41294372054165e-10
"AT1G08115",1478.62438218024,-3.66274352546825,0.533707135281541,-6.86283409633652,6.75076131588883e-12,1.23293449851097e-09
"AT2G43150",20.0951558837436,19.1196218310922,2.86658445766829,6.66982679681599,2.56105492995273e-11,4.2876327952292e-09
"AT2G07741",4449.69311139062,9.84779505565865,1.51535517082857,6.49867123248343,8.10325280593318e-11,1.25226422208614e-08
"AT2G07689",3423.26165484971,9.37110785606853,1.45036095948528,6.46122456260425,1.03859058849605e-10,1.49037749449183e-08
"AT2G07712",4640.31511013573,8.64849762179562,1.37755450888498,6.27815274532833,3.42619238621634e-10,4.58881366927242e-08
"AT2G07723",1841.15724665777,8.03255274030202,1.28613457707685,6.24549940843561,4.22448133081332e-10,5.30436437100247e-08
"AT2G07599",826.598521159201,10.8687580748423,1.75136127453949,6.20589151584397,5.43876881620053e-10,6.42734503043933e-08
"AT2G17840",123.642570870561,-5.18982414056612,0.8467990722581,-6.12875510919819,8.85693273565000e-10,9.88532103662269e-08
"AT2G07699",2223.26641150783,9.43140247662623,1.54318435952671,6.11164986114738,9.86063436644656e-10,9.90500722109557e-08
"AT2G07717",7385.27635074213,7.39868615700649,1.20900815699591,6.1196329521799,9.37911473050534e-10,9.90500722109557e-08
"AT2G07785",1746.73425678544,10.1153850783745,1.67374251931578,6.04357298786296,1.50738136981435e-09,1.44206151045572e-07
"AT2G07731",1381.6030743807,8.1590413280094,1.36619398606518,5.97209577207151,2.34224954372299e-09,2.13889969697249e-07
"AT2G07733",2714.55023238122,8.61483694225414,1.45007317570478,5.94096703986478,2.83345585678486e-09,2.47496209403513e-07
"AT2G07725",2803.10542966344,8.54069882446516,1.46643975661684,5.82410479934686,5.7419538427132e-09,4.80649386250451e-07
"AT1G09070",150.796567936882,-5.92276963823673,1.03455175944978,-5.72496212406685,1.03456819723041e-08,8.31379003294358e-07
"AT2G07709",15745.5646413435,8.77595714278557,1.54301547533791,5.68753669879021,1.28884911955642e-08,9.95883800457251e-07
"AT2G01021",658228.325206142,-4.57986275283626,0.814289931536282,-5.62436372533263,1.86192970092005e-08,1.33593456041013e-06
"AT2G07707",895.486979485958,8.56399211655964,1.52239578474746,5.6253388260532,1.8514420322131e-08,1.33593456041013e-06
"AT2G07747",642.234237078951,8.662605823252,1.62357616032702,5.3355093742613,9.52767062628936e-08,6.60037596145356e-06
"AT3G54810",48.2023548201512,-7.1010925228455,1.34558382144561,-5.27733197268715,1.31078299922633e-07,8.77787681815232e-06
"AT1G79245",110.433142182391,-3.38439611435577,0.685912901583723,-4.93414849981892,8.05011765145469e-07,5.21699560057176e-05
"AT2G07681",483.313358928504,10.085897392698,2.04783090354883,4.92516124022712,8.42908199547791e-07,5.29188304028597e-05
"AT1G70185",63.7293745899539,-4.56012660905207,0.934586255502275,-4.87929988506125,1.06463082755662e-06,6.48134343200379e-05
"AT3G10300",42.3833442744659,-4.09725663705911,0.843467053654078,-4.8576368446271,1.18795032830197e-06,7.0193888516431e-05
"AT2G07768",165.544797846173,8.5268318985688,1.794193177642,4.75246032858909,2.00956207936182e-06,0.000115348863355368
"AT1G56660",94.9753333900013,-5.75056391007915,1.25512660761422,-4.58166042787507,4.61298518851607e-06,0.000254263756974413
"AT4G29780",85.2543629235105,-6.3312802600081,1.38282289750974,-4.57851853003721,4.6828068730977e-06,0.000254263756974413
"AT4G34710",174.270216208783,-4.03483740696159,0.883357773587501,-4.56761408299525,4.93307199165539e-06,0.000260803727137781
