"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G07709",15745.5646413435,12.0668753020455,1.54342869419992,7.81822661933906,5.35726817606028e-15,2.06308397460082e-11
"AT1G08115",1478.62438218024,-3.86505778005361,0.53033528458446,-7.28795140055982,3.14703444261057e-13,6.05961481924666e-10
"AT2G07687",22738.0363227669,9.49380047426275,1.35054804857634,7.02959104955244,2.07139748247032e-12,2.6589839016644e-09
"AT2G07712",4640.31511013573,9.12706695930202,1.33167739647358,6.85381232982661,7.19074049023336e-12,6.43346172661253e-09
"AT2G07727",15856.084390432,8.81476135419625,1.29014911765212,6.83235854955882,8.352975495472e-12,6.43346172661253e-09
"AT2G07785",1746.73425678544,8.84739476137402,1.33978956741531,6.60357042370634,4.01371491374e-11,2.57613602213545e-08
"AT2G07698",40600.0436349734,8.11864360480506,1.23432268252087,6.57740777170542,4.78720604229962e-11,2.63364720984226e-08
"AT2G07689",3423.26165484971,8.7377428740781,1.34198167873562,6.51107463874664,7.461505475495e-11,3.59178219826641e-08
"AT3G41979",14832851.952253,8.41834168831253,1.29935872906879,6.47884337094936,9.24283881677906e-11,3.95490803149069e-08
"AT2G07723",1841.15724665777,7.50603624679049,1.19595073624515,6.27620855885477,3.46928754993406e-10,1.3360226354796e-07
"AT2G01020",6612423.42556556,7.18661642060201,1.15922091345901,6.19952274597755,5.66346324165414e-10,1.93562904703979e-07
"AT2G07711",14009.8618876057,8.27553913123826,1.33700627930905,6.18960378818488,6.0315628575636e-10,1.93562904703979e-07
"AT2G07599",826.598521159201,7.86049118228878,1.31495073149749,5.977783801327,2.26193647389477e-09,6.43308481393994e-07
"AT2G07725",2803.10542966344,8.3326683807586,1.39520918894863,5.97234339248996,2.33869611516902e-09,6.43308481393994e-07
"AT2G07717",7385.27635074213,7.03223704319854,1.19400464837816,5.88962283584958,3.87078005917626e-09,9.93758267192518e-07
"AT2G07747",642.234237078951,7.34189962414765,1.27602111361862,5.75374462521788,8.72879860077799e-09,2.10091271322475e-06
"AT2G07733",2714.55023238122,7.72341040317519,1.36838395199735,5.64418370436294,1.65966790273936e-08,3.75963593732311e-06
"AT2G07731",1381.6030743807,6.51486869486778,1.23435131895526,5.27796956573262,1.30623152642408e-07,2.79460978236619e-05
"AT4G06477",89.80595516536,6.2221029092363,1.18521503561624,5.24976710745252,1.52291625961152e-07,3.0867107977705e-05
"AT2G07741",4449.69311139062,7.30591030172231,1.39686700035367,5.23021182394069,1.69315920826733e-07,3.26017805551875e-05
"AT2G07699",2223.26641150783,6.94757889187567,1.3654312370108,5.08819390062097,3.61489667937843e-07,6.62903195823159e-05
"AT2G07771",382.965355168865,8.15125457833422,1.61716747687269,5.04045171258161,4.64434305463906e-07,8.1297114106432e-05
"AT2G07768",165.544797846173,6.63450841996503,1.39027188854801,4.77209420302245,1.82320187724796e-06,0.000305267409968779
"AT2G07786",232.022237526683,5.52650053637772,1.19288444893883,4.6328884086753,3.60598933835894e-06,0.000578611039250844
"AT2G07675",85.1773660845972,5.76887392503299,1.26746792895496,4.55149498716666,5.32660671337364e-06,0.000782548936880404
"AT2G07716",328.085627873473,7.19154478565637,1.58220532753371,4.54526644583249,5.48658044553906e-06,0.000782548936880404
"AT2G07808",296.830453197944,7.25339238971718,1.59385060894918,4.55086088306563,5.3426865659604e-06,0.000782548936880404
"AT5G54075",68.8659616021516,-5.73916740875518,1.26566294452837,-4.53451484343945,5.7736041851922e-06,0.000794076775613398
"AT1G15690",62.0466056202396,-6.81202300175886,1.52804429669939,-4.45800099936434,8.27275165131445e-06,0.0010985643658349
"AT3G20365",95.4449359955735,7.74303155236179,1.74148785000171,4.44621623536116,8.73959793930539e-06,0.0011218730554755
"AT2G07734",103.117900161022,5.0102651419224,1.13825649888601,4.40170132727189,1.07405341155898e-05,0.0013342515122302
"AT2G07707",895.486979485958,5.50008680187872,1.26101193301273,4.36164532459123,1.29088009942328e-05,0.00154002443107857
"AT2G29630",52.3621490573436,-6.34953375530549,1.45737920339205,-4.35681649671338,1.31967816737452e-05,0.00154002443107857
"AT2G38170",43.3647947469667,-6.21132774234711,1.43025348866961,-4.3428160053815,1.4066793912477e-05,0.00155614195532731
"AT2G39010",47.5311057226784,-6.06548267347836,1.39705253216278,-4.34162820211805,1.41430715233591e-05,0.00155614195532731
"AT5G13650",42.9404329925051,-6.07797226347229,1.4073129425806,-4.31884911988875,1.56844958949426e-05,0.00167780538031733
"AT5G01600",40.7890861975832,-6.20133652351356,1.45028051617879,-4.27595658518041,1.90318312666744e-05,0.00198085357318819
"AT2G45180",110.582722453204,-5.30092742806936,1.24865519144825,-4.24530924499748,2.18292148891755e-05,0.00221221859311091
"AT1G70940",20.7155546953143,-5.69640254893049,1.3450066992589,-4.23522243574639,2.28325577290438e-05,0.00223230061994713
"AT2G07681",483.313358928504,7.15576666008526,1.69096601120002,4.23176256216236,2.3186711191349e-05,0.00223230061994713
"AT4G03560",22.8069350237742,-5.34881538437486,1.26854377995939,-4.21650042267056,2.48122822556159e-05,0.00233053899917992
"AT5G04930",21.5230755357448,-5.4474138443856,1.29955529417606,-4.19175226233012,2.7680817160347e-05,0.00253806730677372
"AT1G49750",38.8540435673174,-6.8600237249093,1.64789512784092,-4.16290066583142,3.14230091198502e-05,0.00275022745728507
"AT2G07751",61.3142870117653,5.44663720583156,1.30713277639444,4.1668584126973,3.0882617566528e-05,0.00275022745728507
"AT5G49730",26.1469587198807,-5.57864167568096,1.34283953703923,-4.15436209748565,3.26196271775162e-05,0.00279151520579144
